Date,EWA,EWC,GDX,GDXJ,IVV,SMH,SOXX,SPY,XLE,XOP
2022-06-28,18.72215461730957,31.627836227416992,27.407716751098633,31.911724090576172,361.4040832519531,102.42838287353516,117.12557220458984,360.825439453125,33.25542449951172,118.93421173095703
2022-06-29,18.669952392578125,31.351133346557617,26.999492645263672,31.281213760375977,361.14910888671875,100.623779296875,114.3621826171875,360.53167724609375,32.09975051879883,112.65731048583984
2022-06-30,18.461158752441406,31.06519889831543,25.993183135986328,30.114280700683594,358.1358337402344,99.36544036865234,112.86424255371094,357.6025390625,31.423038482666016,108.53324890136719
2022-07-01,18.348060607910156,31.39725112915039,26.733673095703125,31.102401733398438,361.8574523925781,95.59040832519531,108.870849609375,361.384765625,31.893213272094727,109.84130859375
2022-07-05,18.113161087036133,30.622461318969727,25.59445571899414,29.239084243774414,362.63201904296875,96.0927734375,109.72956848144531,362.06719970703125,30.627681732177734,103.8369369506836
2022-07-06,18.24365997314453,30.456438064575195,25.433069229125977,28.862655639648438,363.9261169433594,96.74632263183594,110.26546478271484,363.2901306152344,30.104772567749023,102.08375549316406
2022-07-07,18.62645721435547,31.138988494873047,25.784326553344727,29.521406173706055,369.3196716308594,101.21393585205078,115.20152282714844,368.7310485839844,31.190139770507812,107.8883056640625
2022-07-08,18.54815673828125,31.129762649536133,25.689390182495117,29.370832443237305,369.02679443359375,101.76019287109375,115.75032806396484,368.4278259277344,31.17694664001465,107.5794448852539
2022-07-11,18.052263259887695,30.687030792236328,25.300159454345703,28.834423065185547,364.8234558105469,99.32154846191406,113.08377838134766,364.21905517578125,30.878145217895508,106.28955841064453
2022-07-12,18.130565643310547,30.437990188598633,24.929912567138672,28.42976188659668,361.5458068847656,99.28252410888672,113.4001235961914,360.9961242675781,30.276140213012695,103.7733383178711
2022-07-13,18.156661987304688,30.44721031188965,25.47104263305664,29.42729949951172,359.6944580078125,100.0677719116211,114.03934478759766,359.1002197265625,30.227807998657227,104.63632202148438
2022-07-14,17.97396469116211,29.561742782592773,24.40777015686035,28.250959396362305,358.8254699707031,102.17964935302734,116.45732879638672,358.22821044921875,29.656557083129883,102.81954193115234
